Feature,Importance
Q_VFD1_Temperature,0.0017285571885813557
Q_VFD2_Temperature,0.08832172121223257
Q_VFD3_Temperature,0.001804199231183206
Q_VFD4_Temperature,0.0008616824417188971
I_Stopper1_Status,0.009023870445738838
I_Stopper2_Status,0.0003853524256268717
I_Stopper3_Status,1.7836532648145673e-06
I_Stopper4_Status,6.041071243626229e-07
I_Stopper5_Status,3.2009646438000847e-07
Q_Cell_CycleCount,0.8549531685495605
I_MHS_GreenRocketTray,0.00017133349465336858
I_R01_Gripper_Load,0.00012695566732197992
I_R01_Gripper_Pot,9.921108154987546e-05
M_R01_BJointAngle_Degree,9.899140452942403e-05
M_R01_LJointAngle_Degree,0.0031167469049844325
M_R01_RJointAngle_Degree,0.0007897797488365097
M_R01_SJointAngle_Degree,0.01044722135897583
M_R01_TJointAngle_Degree,2.3568191334870735e-06
M_R01_UJointAngle_Degree,1.2668918659648295e-06
I_R02_Gripper_Load,8.447512107333764e-05
I_R02_Gripper_Pot,0.0011575370817348686
M_R02_BJointAngle_Degree,0.00038323749770620283
M_R02_LJointAngle_Degree,6.228318168071033e-05
M_R02_RJointAngle_Degree,5.4765730718250375e-05
M_R02_SJointAngle_Degree,0.003607295872997506
M_R02_TJointAngle_Degree,0.0003350542913203769
M_R02_UJointAngle_Degree,0.00025438984628774436
I_R03_Gripper_Load,0.00010150149351104807
I_R03_Gripper_Pot,0.00014172707051688554
M_R03_BJointAngle_Degree,9.220872448305254e-05
M_R03_LJointAngle_Degree,8.244978952749262e-05
M_R03_RJointAngle_Degree,8.651367134848579e-05
M_R03_SJointAngle_Degree,0.0002805764894073092
M_R03_TJointAngle_Degree,7.343750894800315e-05
M_R03_UJointAngle_Degree,5.55695682685533e-05
I_R04_Gripper_Load,0.0001745366468431946
I_R04_Gripper_Pot,0.00012550675203242993
M_R04_BJointAngle_Degree,0.00027341187930186297
M_R04_LJointAngle_Degree,1.4364979246681171e-05
M_R04_RJointAngle_Degree,2.9728443886844874e-05
M_R04_SJointAngle_Degree,0.020537555691151572
M_R04_TJointAngle_Degree,3.528184819756481e-05
M_R04_UJointAngle_Degree,2.146809646340553e-05
